message_id,gyro_xout_scaled,gyro_yout_scaled,gyro_zout_scaled,accel_xout_scaled,accel_yout_scaled,accel_zout_scaled,x_rotation,y_rotation,measured_timestamp
1,-6.0,-1.0,-2.0,-0.0966796875,-0.754150390625,1.05908203125,-35.341626562566,4.25270133923153,1488091851.39541
2,-6.0,-1.0,-2.0,-0.0986328125,-0.75830078125,1.047119140625,-35.7911016158806,4.36267832780251,1488091851.53889
3,-6.0,-1.0,-2.0,-0.102783203125,-0.7646484375,1.033203125,-36.369438135994,4.57183884284769,1488091851.5985
4,-6.0,-1.0,-2.0,-0.101806640625,-0.750244140625,1.050537109375,-35.4060869304455,4.50919343260307,1488091851.73316
5,-6.0,-1.0,-2.0,-0.098388671875,-0.75390625,1.049560546875,-35.5712545332685,4.35390222028176,1488091851.78667
6,-6.0,0.0,-2.0,-0.10400390625,-0.760009765625,1.057373046875,-35.5768863894418,4.56649419666498,1488091851.91687
7,-6.0,-1.0,-2.0,-0.083251953125,-0.755126953125,1.04736328125,-35.7052598667477,3.68913224088815,1488091851.96526
8,-6.0,-1.0,-2.0,-0.10498046875,-0.73681640625,1.035888671875,-35.2856849956106,4.72096672250767,1488091852.01847
9,-6.0,-1.0,-2.0,-0.1005859375,-0.756103515625,1.05419921875,-35.5263627739838,4.43349443193579,1488091852.18556
10,-6.0,-1.0,-2.0,-0.097412109375,-0.75439453125,1.049560546875,-35.5911422418614,4.30990434419325,1488091852.23843
11,-4.0,1.0,-1.0,-0.18701171875,-0.70166015625,1.065673828125,-32.9637853203661,8.33843502915977,1488091852.37044
12,-6.0,-2.0,-1.0,-0.07958984375,-0.744140625,1.03857421875,-35.5422951073985,3.56458195009065,1488091852.42082
13,-5.0,-1.0,-2.0,-0.093017578125,-0.757568359375,1.05615234375,-35.5467541155982,4.09341515540935,1488091852.47073
14,-6.0,-1.0,-2.0,-0.10107421875,-0.751220703125,1.05419921875,-35.3498137898433,4.46466324993562,1488091852.52547
15,-6.0,-1.0,-2.0,-0.094970703125,-0.764404296875,1.056640625,-35.7736683974174,4.1650411837059,1488091852.57134
16,-6.0,-1.0,-2.0,-0.091796875,-0.754150390625,1.05859375,-35.3650078221371,4.03987967107471,1488091852.62459
17,-6.0,-1.0,-2.0,-0.107177734375,-0.75634765625,1.048583984375,-35.6619087577415,4.73882245714376,1488091852.68906
18,-6.0,-1.0,-2.0,-0.100830078125,-0.7587890625,1.059326171875,-35.491573843503,4.42474169567692,1488091852.74375
19,-6.0,-1.0,-2.0,-0.097900390625,-0.75439453125,1.052734375,-35.5088471666044,4.32283507521623,1488091852.87212
20,-6.0,-1.0,-2.0,-0.098388671875,-0.75390625,1.055908203125,-35.4093607320139,4.33664994398774,1488091852.92705
21,-6.0,0.0,-2.0,-0.104248046875,-0.755615234375,1.058837890625,-35.3821082059861,4.58196085290578,1488091852.97748
22,-6.0,-1.0,-2.0,-0.103515625,-0.755126953125,1.056884765625,-35.4159146948267,4.55643873093956,1488091853.03457
23,-6.0,-1.0,-2.0,-0.098876953125,-0.750732421875,1.047119140625,-35.5183041351116,4.38839507173958,1488091853.09554
24,-6.0,-1.0,-2.0,-0.09716796875,-0.756591796875,1.0498046875,-35.6643661316797,4.2942388777824,1488091853.15342
25,-6.0,-1.0,-2.0,-0.101806640625,-0.758544921875,1.049560546875,-35.7293525788668,4.49514852144782,1488091853.20575
26,-6.0,-1.0,-2.0,-0.09521484375,-0.755126953125,1.052978515625,-35.5351944228707,4.20266348212692,1488091853.2534
27,-6.0,-1.0,-2.0,-0.09423828125,-0.759765625,1.054931640625,-35.6536562206834,4.14602277010225,1488091853.30803
